id	round	user	decision	Market	result	Use of expert	Expert's guess	information_consulted	Key	Gender (1=f/0=m)	experiment	Mean 5 days	Mean all previous days	Age range
1	1	3	-1	-1	1	1	-1	5	001101--	0	2I	0	0	re1
2	2	3	-1	1	-1	0	-1	1	010000--	0	2I	0	0	re1
3	3	3	1	1	1	1	-1	5	111101--	0	2I	0	0	re1
4	4	3	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re1
5	5	3	1	1	1	1	1	3	111111--	0	2I	0	0	re1
6	6	3	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re1
7	7	3	1	-1	-1	1	1	5	100111--	0	2I	0	0	re1
8	8	3	-1	-1	1	1	-1	4	001101--	0	2I	0	0	re1
9	9	3	1	-1	-1	1	1	5	100111--	0	2I	0	0	re1
10	10	3	1	1	1	1	1	5	111111--	0	2I	0	0	re1
11	11	3	1	1	1	1	-1	5	111101--	0	2I	0	0	re1
12	12	3	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re1
13	13	3	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re1
14	14	3	1	1	1	1	1	5	111111--	0	2I	0	0	re1
15	15	3	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re1
16	16	3	-1	1	-1	1	1	4	010111--	0	2I	0	0	re1
17	17	3	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re1
18	18	3	-1	-1	1	1	-1	5	001101--	0	2I	0	0	re1
19	19	3	1	1	1	1	1	5	111111--	0	2I	0	0	re1
20	20	3	1	1	1	1	-1	5	111101--	0	2I	0	0	re1
21	21	3	1	1	1	1	-1	5	111101--	0	2I	0	0	re1
22	22	3	1	1	1	0	-1	1	111000--	0	2I	0	0	re1
23	23	3	1	1	1	1	1	5	111111--	0	2I	0	0	re1
24	24	3	-1	1	-1	1	1	4	010111--	0	2I	0	0	re1
25	25	3	-1	1	-1	1	-1	5	010101--	0	2I	0	0	re1
26	1	5	-1	-1	1	0	1	1	001010--	1	1I	0	0	re0
27	2	5	-1	-1	1	0	1	1	001010--	1	1I	0	0	re0
28	3	5	1	-1	-1	0	-1	1	100000--	1	1I	0	0	re0
29	4	5	-1	1	-1	0	1	1	010010--	1	1I	0	0	re0
30	5	5	1	-1	-1	0	1	1	100010--	1	1I	0	0	re0
31	6	5	-1	1	-1	0	1	1	010010--	1	1I	0	0	re0
32	7	5	1	1	1	0	-1	1	111000--	1	1I	0	0	re0
33	8	5	1	1	1	0	1	1	111010--	1	1I	0	0	re0
34	9	5	-1	-1	1	0	-1	1	001000--	1	1I	0	0	re0
35	10	5	-1	-1	1	0	-1	1	001000--	1	1I	0	0	re0
36	11	5	-1	-1	1	0	-1	1	001000--	1	1I	0	0	re0
37	12	5	-1	-1	1	0	-1	1	001000--	1	1I	0	0	re0
38	13	5	-1	-1	1	0	1	1	001010-0	1	1I	0	-1	re0
39	14	5	1	-1	-1	0	1	1	100010-0	1	1I	0	-1	re0
40	15	5	-1	-1	1	0	-1	1	001000-0	1	1I	0	-1	re0
41	16	5	-1	1	-1	0	1	1	010010-0	1	1I	0	-1	re0
42	17	5	-1	1	-1	0	-1	1	010000-0	1	1I	0	-1	re0
43	18	5	1	-1	-1	0	-1	1	100000-0	1	1I	0	-1	re0
44	19	5	-1	1	-1	0	1	1	010010-0	1	1I	0	-1	re0
