	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1, 1, 1, 1]	0.4116, 0.0942, 0.3256, 0.5735, 0.3284, 0.4844, 3.3719, 0.4817, 
NMF_[1, 1, 1, 1]	0.4182, 0.0744, 0.3388, 0.5631, 0.3232, 0.4374, 3.9405, 0.5629, 
PF_[1, 1, 1, 1]	0.6156, 0.2612, 0.6430, 0.7928, 0.6002, 0.6224, 3.0512, 0.4359, 
TF_[1, 1, 1, 1]	0.4055, 0.0579, 0.1504, 0.5145, 0.2851, 0.3924, 4.0529, 0.5790, 
BL_[1, 1, 1, 1]	0.4055, 0.0512, 0.2727, 0.5000, 0.2558, 0.4157, 4.0512, 0.5787, 
nMMSBM_[1, 1, 1, 1]	0.4152, 0.0512, 0.3223, 0.5607, 0.3280, 0.4662, 3.7983, 0.5426, 
KNN_[1, 1, 1, 1]	0.2897, 0.0413, 0.2198, 0.5051, 0.2805, 0.3570, 5.0942, 0.7277, 
Rand_[1, 1, 1, 1]	0.4057, 0.0347, 0.2298, 0.4873, 0.2557, 0.4366, 3.8132, 0.5447, 
NB_[2, 1, 1, 1]	0.4059, 0.0893, 0.3273, 0.5801, 0.3345, 0.4852, 3.3488, 0.4784, 
NMF_[2, 1, 1, 1]	0.4023, 0.0661, 0.3190, 0.5473, 0.3238, 0.4074, 4.0909, 0.5844, 
PF_[2, 1, 1, 1]	0.5917, 0.2496, 0.6545, 0.7728, 0.6099, 0.6005, 3.4116, 0.4874, 
TF_[2, 1, 1, 1]	0.4178, 0.0595, 0.1504, 0.5675, 0.3335, 0.4058, 3.6893, 0.5270, 
BL_[2, 1, 1, 1]	0.4055, 0.0512, 0.2727, 0.5000, 0.2558, 0.4157, 4.0512, 0.5787, 
nMMSBM_[2, 1, 1, 1]	0.4087, 0.0430, 0.2760, 0.5435, 0.2836, 0.4500, 3.7702, 0.5386, 
KNN_[2, 1, 1, 1]	0.3462, 0.0496, 0.2826, 0.5502, 0.2904, 0.3990, 4.7719, 0.6817, 
Rand_[2, 1, 1, 1]	0.4055, 0.0479, 0.2645, 0.4992, 0.2682, 0.4546, 3.7240, 0.5320, 
NB_[3, 1, 1, 1]	0.4058, 0.0744, 0.3322, 0.5785, 0.3333, 0.4928, 3.3041, 0.4720, 
NMF_[3, 1, 1, 1]	0.3849, 0.0446, 0.3025, 0.5363, 0.3027, 0.3758, 4.3686, 0.6241, 
PF_[3, 1, 1, 1]	0.5727, 0.2512, 0.6281, 0.7313, 0.5691, 0.5367, 3.9471, 0.5639, 
TF_[3, 1, 1, 1]	0.4055, 0.0182, 0.2595, 0.5143, 0.2766, 0.4273, 3.9322, 0.5617, 
BL_[3, 1, 1, 1]	0.4055, 0.0512, 0.2727, 0.5000, 0.2558, 0.4157, 4.0512, 0.5787, 
nMMSBM_[3, 1, 1, 1]	0.4055, 0.0364, 0.2446, 0.5386, 0.2793, 0.4465, 3.6777, 0.5254, 
KNN_[3, 1, 1, 1]	0.3756, 0.0612, 0.2843, 0.5531, 0.2914, 0.3904, 4.5603, 0.6515, 
Rand_[3, 1, 1, 1]	0.4064, 0.0380, 0.2545, 0.5156, 0.2726, 0.4603, 3.5851, 0.5122, 
