	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1]	0.4781, 0.0716, 0.3596, 0.4687, 0.3103, 0.4849, 3.6184, 0.5169, 
NMF_[1]	0.4787, 0.0731, 0.3596, 0.4581, 0.3131, 0.5073, 3.3421, 0.4774, 
PF_[1]	0.4948, 0.0439, 0.4298, 0.5903, 0.3887, 0.5498, 2.9635, 0.4234, 
TF_[1]	0.4781, 0.0482, 0.3596, 0.5448, 0.3508, 0.4746, 3.7836, 0.5405, 
BL_[1]	0.4781, 0.0658, 0.3596, 0.5000, 0.3227, 0.4958, 3.4605, 0.4944, 
nMMSBM_[1]	0.4789, 0.0687, 0.3596, 0.5067, 0.3380, 0.4915, 3.6447, 0.5207, 
KNN_[1]	0.2588, 0.0497, 0.3275, 0.5068, 0.3274, 0.4316, 4.6652, 0.6665, 
Rand_[1]	0.4790, 0.0380, 0.2836, 0.5252, 0.3467, 0.4728, 3.8363, 0.5480, 
NB_[2]	0.4781, 0.0629, 0.3596, 0.4657, 0.3071, 0.5137, 3.4912, 0.4987, 
NMF_[2]	0.4783, 0.0658, 0.2895, 0.4839, 0.3180, 0.4759, 3.6769, 0.5253, 
PF_[2]	0.5204, 0.1447, 0.5234, 0.6871, 0.5231, 0.6403, 2.7588, 0.3941, 
TF_[2]	0.4781, 0.0512, 0.3596, 0.5058, 0.3451, 0.4684, 3.7149, 0.5307, 
BL_[2]	0.4781, 0.0658, 0.3596, 0.5000, 0.3227, 0.4958, 3.4605, 0.4944, 
nMMSBM_[2]	0.4781, 0.0556, 0.3655, 0.5158, 0.3509, 0.5027, 3.6170, 0.5167, 
KNN_[2]	0.3707, 0.0687, 0.3070, 0.5187, 0.3350, 0.4302, 4.6842, 0.6692, 
Rand_[2]	0.4782, 0.0292, 0.2485, 0.4911, 0.3271, 0.4474, 4.0117, 0.5731, 
NB_[3]	0.4783, 0.0833, 0.3553, 0.4610, 0.2967, 0.5138, 3.5789, 0.5113, 
NMF_[3]	0.4785, 0.0599, 0.2573, 0.4662, 0.3090, 0.4477, 3.7222, 0.5317, 
PF_[3]	0.5622, 0.1988, 0.6082, 0.7593, 0.6199, 0.6347, 2.9825, 0.4261, 
TF_[3]	0.4782, 0.0482, 0.3596, 0.4998, 0.3222, 0.4574, 3.9693, 0.5670, 
BL_[3]	0.4781, 0.0658, 0.3596, 0.5000, 0.3227, 0.4958, 3.4605, 0.4944, 
nMMSBM_[3]	0.4781, 0.0336, 0.3582, 0.5212, 0.3531, 0.5041, 3.6126, 0.5161, 
KNN_[3]	0.4130, 0.0439, 0.2851, 0.5048, 0.3270, 0.3950, 4.6784, 0.6683, 
Rand_[3]	0.4788, 0.0190, 0.2588, 0.5035, 0.3309, 0.4600, 3.8933, 0.5562, 
