	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1, 1, 1]	0	0.2558	0.2207	0.2373	0.5362	0.1617	0.4632	2.5709	0.2571	
NMF_[1, 1, 1]	0	0.1127	0.0289	0.0483	0.5005	0.1529	0.1406	8.3195	0.8319	
PF_[1, 1, 1]	0	0.0608	0.0310	0.0515	0.5156	0.1754	0.1281	8.7168	0.8717	
TF_[1, 1, 1]	0	0.2547	0.0000	0.2238	0.5039	0.1513	0.4549	2.6363	0.2636	
BL_[1, 1, 1]	0	0.2547	0.2286	0.2286	0.5000	0.1507	0.4598	2.5735	0.2574	
nMMSBM_[1, 1, 1]	0	0.3875	0.2068	0.3434	0.7583	0.3285	0.5698	1.6597	0.1660	
nMMSBM_[1, 1, 1]	1	0.3889	0.2054	0.3448	0.7595	0.3307	0.5709	1.6552	0.1655	
nMMSBM_[1, 1, 1]	2	0.3886	0.2058	0.3422	0.7584	0.3250	0.5697	1.6569	0.1657	
nMMSBM_[1, 1, 1]	3	0.3900	0.2066	0.3452	0.7605	0.3307	0.5715	1.6521	0.1652	
nMMSBM_[1, 1, 1]	4	0.3893	0.2073	0.3457	0.7595	0.3309	0.5713	1.6561	0.1656	
nMMSBM_[1, 1, 1]	5	0.3897	0.2057	0.3447	0.7597	0.3276	0.5717	1.6394	0.1639	
nMMSBM_[1, 1, 1]	6	0.3882	0.2049	0.3401	0.7566	0.3269	0.5677	1.6691	0.1669	
nMMSBM_[1, 1, 1]	7	0.3904	0.2070	0.3423	0.7603	0.3294	0.5702	1.6454	0.1645	
nMMSBM_[1, 1, 1]	8	0.3896	0.2102	0.3435	0.7608	0.3289	0.5711	1.6416	0.1642	
nMMSBM_[1, 1, 1]	9	0.3887	0.2069	0.3426	0.7589	0.3287	0.5698	1.6586	0.1659	
nMMSBM_[1, 1, 1]	10	0.3893	0.2059	0.3445	0.7602	0.3291	0.5710	1.6503	0.1650	
nMMSBM_[1, 1, 1]	11	0.3910	0.2055	0.3439	0.7594	0.3316	0.5710	1.6503	0.1650	
nMMSBM_[1, 1, 1]	12	0.3904	0.2074	0.3448	0.7588	0.3298	0.5714	1.6510	0.1651	
nMMSBM_[1, 1, 1]	13	0.3893	0.2082	0.3449	0.7577	0.3295	0.5703	1.6630	0.1663	
nMMSBM_[1, 1, 1]	14	0.3907	0.2086	0.3458	0.7602	0.3294	0.5717	1.6471	0.1647	
nMMSBM_[1, 1, 1]	15	0.3871	0.2050	0.3418	0.7571	0.3266	0.5686	1.6656	0.1666	
nMMSBM_[1, 1, 1]	16	0.3888	0.2049	0.3416	0.7575	0.3280	0.5689	1.6610	0.1661	
nMMSBM_[1, 1, 1]	17	0.3902	0.2058	0.3391	0.7587	0.3290	0.5678	1.6652	0.1665	
nMMSBM_[1, 1, 1]	18	0.3902	0.2086	0.3451	0.7612	0.3314	0.5714	1.6501	0.1650	
nMMSBM_[1, 1, 1]	19	0.3896	0.2069	0.3444	0.7576	0.3300	0.5704	1.6596	0.1660	
nMMSBM_[1, 1, 1]	20	0.3892	0.2085	0.3405	0.7582	0.3267	0.5687	1.6585	0.1659	
nMMSBM_[1, 1, 1]	21	0.3903	0.2058	0.3428	0.7601	0.3288	0.5700	1.6540	0.1654	
nMMSBM_[1, 1, 1]	22	0.3889	0.2061	0.3417	0.7583	0.3279	0.5694	1.6528	0.1653	
nMMSBM_[1, 1, 1]	23	0.3893	0.2069	0.3469	0.7595	0.3303	0.5722	1.6507	0.1651	
nMMSBM_[1, 1, 1]	24	0.3907	0.2065	0.3444	0.7588	0.3291	0.5712	1.6473	0.1647	
nMMSBM_[1, 1, 1]	25	0.3890	0.2107	0.3457	0.7600	0.3295	0.5712	1.6596	0.1660	
nMMSBM_[1, 1, 1]	26	0.3905	0.2086	0.3437	0.7597	0.3286	0.5709	1.6498	0.1650	
nMMSBM_[1, 1, 1]	27	0.3892	0.2063	0.3426	0.7599	0.3273	0.5700	1.6594	0.1659	
nMMSBM_[1, 1, 1]	28	0.3886	0.2091	0.3462	0.7591	0.3283	0.5715	1.6587	0.1659	
nMMSBM_[1, 1, 1]	29	0.3913	0.2072	0.3445	0.7592	0.3299	0.5709	1.6522	0.1652	
nMMSBM_[1, 1, 1]	30	0.3884	0.2112	0.3439	0.7594	0.3302	0.5706	1.6534	0.1653	
nMMSBM_[1, 1, 1]	31	0.3902	0.2095	0.3446	0.7584	0.3304	0.5707	1.6597	0.1660	
nMMSBM_[1, 1, 1]	32	0.3901	0.2073	0.3449	0.7607	0.3303	0.5713	1.6497	0.1650	
nMMSBM_[1, 1, 1]	33	0.3883	0.2048	0.3429	0.7599	0.3297	0.5703	1.6558	0.1656	
nMMSBM_[1, 1, 1]	34	0.3888	0.2046	0.3419	0.7584	0.3287	0.5689	1.6632	0.1663	
nMMSBM_[1, 1, 1]	35	0.3895	0.2085	0.3430	0.7604	0.3289	0.5702	1.6539	0.1654	
nMMSBM_[1, 1, 1]	36	0.3901	0.2058	0.3433	0.7598	0.3310	0.5707	1.6490	0.1649	
nMMSBM_[1, 1, 1]	37	0.3909	0.2064	0.3451	0.7598	0.3303	0.5715	1.6511	0.1651	
nMMSBM_[1, 1, 1]	38	0.3900	0.2078	0.3475	0.7600	0.3319	0.5727	1.6540	0.1654	
nMMSBM_[1, 1, 1]	39	0.3899	0.2077	0.3448	0.7599	0.3289	0.5712	1.6526	0.1653	
nMMSBM_[1, 1, 1]	40	0.3899	0.2061	0.3440	0.7610	0.3299	0.5711	1.6425	0.1643	
nMMSBM_[1, 1, 1]	41	0.3911	0.2076	0.3436	0.7594	0.3303	0.5707	1.6566	0.1657	
nMMSBM_[1, 1, 1]	42	0.3901	0.2095	0.3440	0.7592	0.3290	0.5706	1.6502	0.1650	
nMMSBM_[1, 1, 1]	43	0.3904	0.2069	0.3449	0.7604	0.3325	0.5713	1.6469	0.1647	
