	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1, 1]	0	0.2552	0.2072	0.2375	0.5275	0.1599	0.4641	2.5753	0.2575	
NMF_[1, 1]	0	0.1823	0.0771	0.0945	0.5025	0.1554	0.2075	7.2043	0.7204	
PF_[1, 1]	0	0.6621	0.4961	0.5092	0.7501	0.5694	0.5490	4.4850	0.4485	
TF_[1, 1]	0	0.2546	0.0000	0.2250	0.5000	0.1521	0.4541	2.7083	0.2708	
BL_[1, 1]	0	0.2546	0.2300	0.2300	0.5000	0.1508	0.4605	2.5859	0.2586	
nMMSBM_[1, 1]	0	0.3226	0.1409	0.2448	0.6268	0.2520	0.4373	3.4931	0.3493	
nMMSBM_[1, 1]	1	0.3205	0.1403	0.2411	0.6270	0.2504	0.4341	3.5148	0.3515	
nMMSBM_[1, 1]	2	0.3217	0.1416	0.2446	0.6262	0.2501	0.4368	3.5039	0.3504	
nMMSBM_[1, 1]	3	0.3204	0.1420	0.2441	0.6269	0.2503	0.4361	3.5088	0.3509	
nMMSBM_[1, 1]	4	0.3238	0.1422	0.2447	0.6280	0.2518	0.4380	3.4823	0.3482	
nMMSBM_[1, 1]	5	0.3225	0.1413	0.2431	0.6269	0.2497	0.4359	3.5028	0.3503	
nMMSBM_[1, 1]	6	0.3218	0.1423	0.2423	0.6268	0.2495	0.4359	3.4962	0.3496	
nMMSBM_[1, 1]	7	0.3216	0.1415	0.2428	0.6256	0.2489	0.4361	3.4958	0.3496	
nMMSBM_[1, 1]	8	0.3208	0.1388	0.2445	0.6262	0.2513	0.4366	3.5031	0.3503	
nMMSBM_[1, 1]	9	0.3208	0.1413	0.2401	0.6252	0.2476	0.4339	3.5087	0.3509	
nMMSBM_[1, 1]	10	0.3241	0.1418	0.2460	0.6279	0.2526	0.4385	3.4812	0.3481	
nMMSBM_[1, 1]	11	0.3184	0.1393	0.2420	0.6251	0.2480	0.4345	3.5138	0.3514	
nMMSBM_[1, 1]	12	0.3218	0.1399	0.2415	0.6263	0.2496	0.4355	3.4973	0.3497	
nMMSBM_[1, 1]	13	0.3217	0.1405	0.2446	0.6266	0.2506	0.4369	3.5022	0.3502	
nMMSBM_[1, 1]	14	0.3205	0.1404	0.2436	0.6267	0.2500	0.4360	3.5045	0.3505	
nMMSBM_[1, 1]	15	0.3196	0.1399	0.2419	0.6260	0.2473	0.4345	3.5158	0.3516	
nMMSBM_[1, 1]	16	0.3220	0.1400	0.2437	0.6265	0.2526	0.4365	3.4973	0.3497	
nMMSBM_[1, 1]	17	0.3196	0.1370	0.2446	0.6260	0.2498	0.4364	3.5015	0.3502	
nMMSBM_[1, 1]	18	0.3208	0.1407	0.2432	0.6260	0.2500	0.4359	3.5004	0.3500	
nMMSBM_[1, 1]	19	0.3215	0.1419	0.2431	0.6272	0.2507	0.4356	3.5075	0.3508	
nMMSBM_[1, 1]	20	0.3213	0.1403	0.2440	0.6270	0.2505	0.4365	3.4983	0.3498	
nMMSBM_[1, 1]	21	0.3219	0.1411	0.2423	0.6261	0.2490	0.4359	3.4965	0.3496	
nMMSBM_[1, 1]	22	0.3222	0.1421	0.2454	0.6270	0.2524	0.4376	3.4902	0.3490	
nMMSBM_[1, 1]	23	0.3224	0.1408	0.2451	0.6269	0.2512	0.4376	3.4898	0.3490	
nMMSBM_[1, 1]	24	0.3199	0.1364	0.2421	0.6263	0.2494	0.4347	3.5154	0.3515	
nMMSBM_[1, 1]	25	0.3215	0.1440	0.2438	0.6266	0.2515	0.4362	3.5031	0.3503	
nMMSBM_[1, 1]	26	0.3222	0.1385	0.2425	0.6278	0.2510	0.4360	3.4970	0.3497	
nMMSBM_[1, 1]	27	0.3214	0.1408	0.2444	0.6261	0.2506	0.4369	3.4960	0.3496	
nMMSBM_[1, 1]	28	0.3212	0.1421	0.2447	0.6260	0.2499	0.4370	3.5010	0.3501	
nMMSBM_[1, 1]	29	0.3210	0.1411	0.2429	0.6261	0.2502	0.4354	3.5119	0.3512	
nMMSBM_[1, 1]	30	0.3211	0.1409	0.2441	0.6267	0.2515	0.4364	3.5065	0.3507	
nMMSBM_[1, 1]	31	0.3221	0.1424	0.2447	0.6275	0.2514	0.4364	3.5051	0.3505	
nMMSBM_[1, 1]	32	0.3202	0.1405	0.2423	0.6253	0.2460	0.4355	3.4979	0.3498	
nMMSBM_[1, 1]	33	0.3220	0.1393	0.2427	0.6274	0.2507	0.4358	3.5097	0.3510	
nMMSBM_[1, 1]	34	0.3204	0.1397	0.2446	0.6266	0.2505	0.4367	3.5035	0.3504	
nMMSBM_[1, 1]	35	0.3217	0.1399	0.2435	0.6272	0.2512	0.4358	3.5113	0.3511	
nMMSBM_[1, 1]	36	0.3201	0.1421	0.2439	0.6254	0.2503	0.4359	3.5051	0.3505	
nMMSBM_[1, 1]	37	0.3217	0.1406	0.2421	0.6274	0.2508	0.4353	3.5072	0.3507	
nMMSBM_[1, 1]	38	0.3212	0.1424	0.2438	0.6255	0.2493	0.4357	3.5069	0.3507	
nMMSBM_[1, 1]	39	0.3223	0.1400	0.2425	0.6272	0.2513	0.4352	3.5147	0.3515	
nMMSBM_[1, 1]	40	0.3222	0.1405	0.2433	0.6264	0.2499	0.4360	3.5031	0.3503	
nMMSBM_[1, 1]	41	0.3204	0.1389	0.2442	0.6257	0.2508	0.4359	3.5067	0.3507	
nMMSBM_[1, 1]	42	0.3228	0.1402	0.2464	0.6276	0.2519	0.4388	3.4840	0.3484	
nMMSBM_[1, 1]	43	0.3211	0.1412	0.2448	0.6260	0.2501	0.4367	3.5032	0.3503	
nMMSBM_[1, 1]	44	0.3220	0.1402	0.2433	0.6266	0.2512	0.4364	3.4920	0.3492	
nMMSBM_[1, 1]	45	0.3213	0.1357	0.2420	0.6256	0.2481	0.4355	3.5010	0.3501	
nMMSBM_[1, 1]	46	0.3221	0.1420	0.2441	0.6279	0.2512	0.4367	3.5011	0.3501	
nMMSBM_[1, 1]	47	0.3232	0.1415	0.2432	0.6284	0.2522	0.4363	3.5027	0.3503	
nMMSBM_[1, 1]	48	0.3178	0.1421	0.2401	0.6248	0.2461	0.4330	3.5236	0.3524	
nMMSBM_[1, 1]	49	0.3224	0.1421	0.2453	0.6272	0.2524	0.4375	3.4934	0.3493	
nMMSBM_[1, 1]	50	0.3202	0.1393	0.2443	0.6254	0.2500	0.4366	3.4980	0.3498	
nMMSBM_[1, 1]	51	0.3207	0.1401	0.2445	0.6268	0.2498	0.4363	3.5084	0.3508	
nMMSBM_[1, 1]	52	0.3198	0.1404	0.2414	0.6256	0.2488	0.4346	3.5052	0.3505	
nMMSBM_[1, 1]	53	0.3208	0.1381	0.2434	0.6254	0.2494	0.4358	3.5008	0.3501	
nMMSBM_[1, 1]	54	0.3213	0.1401	0.2421	0.6273	0.2514	0.4352	3.5087	0.3509	
nMMSBM_[1, 1]	55	0.3207	0.1400	0.2436	0.6262	0.2495	0.4360	3.5057	0.3506	
nMMSBM_[1, 1]	56	0.3218	0.1407	0.2438	0.6278	0.2518	0.4362	3.5084	0.3508	
nMMSBM_[1, 1]	57	0.3197	0.1399	0.2431	0.6257	0.2504	0.4355	3.5102	0.3510	
nMMSBM_[1, 1]	58	0.3199	0.1396	0.2428	0.6254	0.2487	0.4357	3.5046	0.3505	
nMMSBM_[1, 1]	59	0.3218	0.1404	0.2453	0.6273	0.2515	0.4371	3.5037	0.3504	
nMMSBM_[1, 1]	60	0.3224	0.1415	0.2446	0.6263	0.2505	0.4371	3.4958	0.3496	
nMMSBM_[1, 1]	61	0.3224	0.1435	0.2445	0.6274	0.2510	0.4369	3.5065	0.3506	
nMMSBM_[1, 1]	62	0.3217	0.1406	0.2431	0.6269	0.2502	0.4359	3.5083	0.3508	
nMMSBM_[1, 1]	63	0.3216	0.1406	0.2437	0.6254	0.2499	0.4364	3.5027	0.3503	
nMMSBM_[1, 1]	64	0.3209	0.1400	0.2437	0.6277	0.2513	0.4359	3.5109	0.3511	
nMMSBM_[1, 1]	65	0.3208	0.1411	0.2447	0.6263	0.2504	0.4362	3.5132	0.3513	
nMMSBM_[1, 1]	66	0.3210	0.1422	0.2434	0.6262	0.2494	0.4361	3.5036	0.3504	
nMMSBM_[1, 1]	67	0.3197	0.1406	0.2435	0.6260	0.2489	0.4353	3.5111	0.3511	
nMMSBM_[1, 1]	68	0.3196	0.1404	0.2416	0.6250	0.2489	0.4348	3.5078	0.3508	
nMMSBM_[1, 1]	69	0.3214	0.1390	0.2415	0.6271	0.2502	0.4352	3.5046	0.3505	
nMMSBM_[1, 1]	70	0.3208	0.1388	0.2428	0.6259	0.2502	0.4353	3.5096	0.3510	
nMMSBM_[1, 1]	71	0.3214	0.1381	0.2428	0.6259	0.2477	0.4362	3.4938	0.3494	
nMMSBM_[1, 1]	72	0.3222	0.1409	0.2444	0.6266	0.2515	0.4368	3.4998	0.3500	
nMMSBM_[1, 1]	73	0.3216	0.1410	0.2440	0.6252	0.2502	0.4365	3.4989	0.3499	
nMMSBM_[1, 1]	74	0.3221	0.1413	0.2443	0.6268	0.2509	0.4365	3.5047	0.3505	
nMMSBM_[1, 1]	75	0.3205	0.1419	0.2431	0.6267	0.2501	0.4356	3.5056	0.3506	
nMMSBM_[1, 1]	76	0.3200	0.1387	0.2409	0.6250	0.2450	0.4343	3.5098	0.3510	
nMMSBM_[1, 1]	77	0.3224	0.1407	0.2460	0.6271	0.2518	0.4377	3.5009	0.3501	
nMMSBM_[1, 1]	78	0.3201	0.1400	0.2417	0.6256	0.2487	0.4352	3.5017	0.3502	
nMMSBM_[1, 1]	79	0.3213	0.1400	0.2429	0.6263	0.2506	0.4358	3.5022	0.3502	
nMMSBM_[1, 1]	80	0.3192	0.1395	0.2425	0.6254	0.2497	0.4346	3.5185	0.3518	
