	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1, 1]	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0008	0.0001	
TF_[1, 1]	nan	nan	nan	nan	nan	nan	nan	nan	
NMF_[1, 1]	nan	nan	nan	nan	nan	nan	nan	nan	
KNN_[1, 1]	nan	nan	nan	nan	nan	nan	nan	nan	
NB_[1, 1]	nan	nan	nan	nan	nan	nan	nan	nan	
BL_[1, 1]	nan	nan	nan	nan	nan	nan	nan	nan	
PF_[1, 1]	nan	nan	nan	nan	nan	nan	nan	nan	
Rand_[1, 1]	nan	nan	nan	nan	nan	nan	nan	nan	
nMMSBM_[1, 2]	0.0000	0.0026	0.0038	0.0003	0.0001	0.0042	0.0505	0.0051	
TF_[1, 2]	nan	nan	nan	nan	nan	nan	nan	nan	
NMF_[1, 2]	nan	nan	nan	nan	nan	nan	nan	nan	
KNN_[1, 2]	nan	nan	nan	nan	nan	nan	nan	nan	
NB_[1, 2]	nan	nan	nan	nan	nan	nan	nan	nan	
BL_[1, 2]	nan	nan	nan	nan	nan	nan	nan	nan	
PF_[1, 2]	nan	nan	nan	nan	nan	nan	nan	nan	
Rand_[1, 2]	nan	nan	nan	nan	nan	nan	nan	nan	
