	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1, 1]	0.2787	0.1721	0.2279	0.5816	0.2005	0.4170	3.6864	0.3686	
TF_[1, 1]	0.2571	0.2349	0.2349	0.4984	0.1542	0.4620	2.5972	0.2597	
NMF_[1, 1]	0.2866	0.2870	0.2870	0.6375	0.2051	0.5050	2.2103	0.2210	
KNN_[1, 1]	0.2600	0.1346	0.1913	0.5486	0.1696	0.3327	5.3628	0.5363	
NB_[1, 1]	0.2583	0.2311	0.2397	0.5345	0.1627	0.4660	2.5635	0.2563	
BL_[1, 1]	0.2570	0.2349	0.2349	0.5000	0.1525	0.4647	2.5571	0.2557	
PF_[1, 1]	0.2675	0.1193	0.1722	0.5590	0.2064	0.3179	5.4161	0.5416	
Rand_[1, 1]	0.2570	0.0282	0.0990	0.5003	0.1529	0.2923	4.5031	0.4503	
nMMSBM_[1, 2]	0.2570	0.0468	0.0969	0.4991	0.1525	0.2903	4.5119	0.4512	
TF_[1, 2]	0.2570	0.2349	0.2349	0.5003	0.1535	0.4615	2.6201	0.2620	
NMF_[1, 2]	0.2877	0.2876	0.2876	0.6391	0.2056	0.5059	2.1990	0.2199	
KNN_[1, 2]	0.2752	0.1496	0.2060	0.5647	0.1756	0.3418	4.7263	0.4726	
NB_[1, 2]	0.2588	0.2269	0.2391	0.5349	0.1626	0.4637	2.6018	0.2602	
BL_[1, 2]	0.2570	0.2349	0.2349	0.5000	0.1525	0.4647	2.5571	0.2557	
PF_[1, 2]	0.3307	0.2325	0.3140	0.6975	0.2668	0.5219	2.0794	0.2079	
Rand_[1, 2]	0.2570	0.0286	0.1010	0.5000	0.1534	0.2937	4.5010	0.4501	
