	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1, 1]	0.0011	0.0037	0.0016	0.0012	0.0010	0.0013	0.0107	0.0011	
TF_[1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NMF_[1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
KNN_[1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NB_[1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
BL_[1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
PF_[1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
Rand_[1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
nMMSBM_[1, 2]	0.0000	0.0205	0.0337	0.0047	0.0019	0.0359	0.4403	0.0440	
TF_[1, 2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NMF_[1, 2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
KNN_[1, 2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NB_[1, 2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
BL_[1, 2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
PF_[1, 2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
Rand_[1, 2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
