	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1, 1, 1, 1]	0.7124	0.6549	0.6549	0.7071	0.7141	0.8274	0.3451	0.1726	
TF_[1, 1, 1, 1]	0.6795	0.6037	0.6037	0.4651	0.4956	0.8019	0.3963	0.1981	
NMF_[1, 1, 1, 1]	0.7125	0.6495	0.6495	0.7056	0.7119	0.8248	0.3505	0.1752	
KNN_[1, 1, 1, 1]	0.6905	0.6473	0.6473	0.6553	0.6345	0.8236	0.3527	0.1764	
NB_[1, 1, 1, 1]	0.6875	0.6309	0.6309	0.6363	0.6261	0.8154	0.3691	0.1846	
BL_[1, 1, 1, 1]	0.6795	0.6037	0.6037	0.5000	0.5215	0.8019	0.3963	0.1981	
PF_[1, 1, 1, 1]	0.7796	0.6919	0.7643	0.8436	0.8351	0.8485	0.3030	0.1515	
Rand_[1, 1, 1, 1]	0.6801	0.5054	0.5054	0.5034	0.5281	0.7527	0.4946	0.2473	
nMMSBM_[1, 2, 1, 1]	0.7107	0.6696	0.6696	0.7120	0.7158	0.8348	0.3304	0.1652	
TF_[1, 2, 1, 1]	0.6796	0.6037	0.6037	0.5342	0.5483	0.8019	0.3963	0.1981	
NMF_[1, 2, 1, 1]	0.7070	0.6676	0.6699	0.7023	0.7020	0.8338	0.3324	0.1662	
KNN_[1, 2, 1, 1]	0.6847	0.6557	0.6557	0.6520	0.6303	0.8279	0.3443	0.1721	
NB_[1, 2, 1, 1]	0.6847	0.6275	0.6275	0.6202	0.6146	0.8137	0.3725	0.1863	
BL_[1, 2, 1, 1]	0.6795	0.6037	0.6037	0.5000	0.5215	0.8019	0.3963	0.1981	
PF_[1, 2, 1, 1]	0.8210	0.7202	0.8101	0.8900	0.8788	0.8601	0.2798	0.1399	
Rand_[1, 2, 1, 1]	0.6796	0.5054	0.5054	0.4998	0.5218	0.7527	0.4946	0.2473	
nMMSBM_[1, 3, 1, 1]	0.7348	0.7172	0.7172	0.7610	0.7646	0.8586	0.2828	0.1414	
TF_[1, 3, 1, 1]	0.6795	0.6037	0.6037	0.4702	0.4967	0.8019	0.3963	0.1981	
NMF_[1, 3, 1, 1]	0.7178	0.6817	0.6976	0.7232	0.7182	0.8409	0.3183	0.1591	
KNN_[1, 3, 1, 1]	0.7023	0.6648	0.6648	0.6859	0.6623	0.8324	0.3352	0.1676	
NB_[1, 3, 1, 1]	0.6867	0.6382	0.6382	0.6323	0.6250	0.8191	0.3618	0.1809	
BL_[1, 3, 1, 1]	0.6795	0.6037	0.6037	0.5000	0.5215	0.8019	0.3963	0.1981	
PF_[1, 3, 1, 1]	0.8525	0.7603	0.8468	0.9172	0.9138	0.8802	0.2397	0.1198	
Rand_[1, 3, 1, 1]	0.6795	0.4901	0.4901	0.4818	0.5123	0.7451	0.5099	0.2549	
