	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1, 1, 1, 1]	0	0.6875	0.6309	0.6309	0.6363	0.6261	0.8154	0.3691	0.1846	
NMF_[1, 1, 1, 1]	0	0.7125	0.6495	0.6495	0.7056	0.7119	0.8248	0.3505	0.1752	
PF_[1, 1, 1, 1]	0	0.7796	0.6919	0.7643	0.8436	0.8351	0.8485	0.3030	0.1515	
TF_[1, 1, 1, 1]	0	0.6795	0.6037	0.6037	0.4651	0.4956	0.8019	0.3963	0.1981	
BL_[1, 1, 1, 1]	0	0.6795	0.6037	0.6037	0.5000	0.5215	0.8019	0.3963	0.1981	
nMMSBM_[1, 1, 1, 1]	0	0.7129	0.6535	0.6535	0.7062	0.7115	0.8267	0.3465	0.1733	
nMMSBM_[1, 1, 1, 1]	1	0.7157	0.6597	0.6597	0.7129	0.7197	0.8298	0.3403	0.1702	
nMMSBM_[1, 1, 1, 1]	2	0.7146	0.6569	0.6569	0.7081	0.7162	0.8284	0.3431	0.1716	
nMMSBM_[1, 1, 1, 1]	3	0.7100	0.6518	0.6518	0.7042	0.7124	0.8259	0.3482	0.1741	
nMMSBM_[1, 1, 1, 1]	4	0.7129	0.6552	0.6552	0.7060	0.7140	0.8276	0.3448	0.1724	
nMMSBM_[1, 1, 1, 1]	5	0.7123	0.6540	0.6540	0.7096	0.7161	0.8270	0.3460	0.1730	
nMMSBM_[1, 1, 1, 1]	6	0.7151	0.6563	0.6563	0.7084	0.7166	0.8282	0.3437	0.1718	
nMMSBM_[1, 1, 1, 1]	7	0.7136	0.6580	0.6580	0.7085	0.7155	0.8290	0.3420	0.1710	
nMMSBM_[1, 1, 1, 1]	8	0.7120	0.6523	0.6523	0.7078	0.7161	0.8262	0.3477	0.1738	
nMMSBM_[1, 1, 1, 1]	9	0.7128	0.6552	0.6552	0.7094	0.7185	0.8276	0.3448	0.1724	
nMMSBM_[1, 1, 1, 1]	10	0.7118	0.6563	0.6563	0.7076	0.7148	0.8282	0.3437	0.1718	
