	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1, 1]	0.0012	0.0031	0.0031	0.0018	0.0024	0.0015	0.0031	0.0015	
TF_[1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NMF_[1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
KNN_[1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NB_[1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
BL_[1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
PF_[1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
Rand_[1, 1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
nMMSBM_[1, 2]	0.0019	0.0053	0.0053	0.0039	0.0043	0.0026	0.0053	0.0026	
TF_[1, 2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NMF_[1, 2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
KNN_[1, 2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NB_[1, 2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
BL_[1, 2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
PF_[1, 2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
Rand_[1, 2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
nMMSBM_[1, 3]	0.0031	0.0056	0.0056	0.0053	0.0058	0.0028	0.0056	0.0028	
TF_[1, 3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NMF_[1, 3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
KNN_[1, 3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NB_[1, 3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
BL_[1, 3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
PF_[1, 3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
Rand_[1, 3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
