	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1, 1]	0	0.6795	0.6037	0.6037	0.5907	0.5822	0.8019	0.3963	0.1981	
NMF_[1, 1]	0	0.6949	0.6501	0.6653	0.6806	0.6706	0.8250	0.3499	0.1750	
PF_[1, 1]	0	0.8430	0.7434	0.8378	0.9100	0.9063	0.8717	0.2566	0.1283	
TF_[1, 1]	0	0.6795	0.6037	0.6037	0.5176	0.5363	0.8019	0.3963	0.1981	
BL_[1, 1]	0	0.6795	0.6037	0.6037	0.5000	0.5215	0.8019	0.3963	0.1981	
nMMSBM_[1, 1]	0	0.7136	0.6710	0.6710	0.7155	0.7215	0.8355	0.3290	0.1645	
nMMSBM_[1, 1]	1	0.7146	0.6670	0.6670	0.7149	0.7209	0.8335	0.3330	0.1665	
nMMSBM_[1, 1]	2	0.7148	0.6676	0.6676	0.7128	0.7189	0.8338	0.3324	0.1662	
nMMSBM_[1, 1]	3	0.7135	0.6733	0.6733	0.7144	0.7207	0.8366	0.3267	0.1634	
nMMSBM_[1, 1]	4	0.7124	0.6665	0.6665	0.7125	0.7185	0.8332	0.3335	0.1668	
nMMSBM_[1, 1]	5	0.7133	0.6716	0.6716	0.7144	0.7187	0.8358	0.3284	0.1642	
nMMSBM_[1, 1]	6	0.7137	0.6704	0.6704	0.7143	0.7209	0.8352	0.3296	0.1648	
nMMSBM_[1, 1]	7	0.7117	0.6682	0.6682	0.7134	0.7183	0.8341	0.3318	0.1659	
nMMSBM_[1, 1]	8	0.7127	0.6642	0.6642	0.7128	0.7183	0.8321	0.3358	0.1679	
nMMSBM_[1, 1]	9	0.7148	0.6653	0.6653	0.7129	0.7189	0.8327	0.3347	0.1673	
nMMSBM_[1, 1]	10	0.7110	0.6744	0.6744	0.7145	0.7192	0.8372	0.3256	0.1628	
nMMSBM_[1, 1]	11	0.7126	0.6676	0.6676	0.7105	0.7175	0.8338	0.3324	0.1662	
nMMSBM_[1, 1]	12	0.7157	0.6727	0.6727	0.7170	0.7217	0.8363	0.3273	0.1637	
nMMSBM_[1, 1]	13	0.7141	0.6637	0.6637	0.7149	0.7201	0.8318	0.3363	0.1682	
nMMSBM_[1, 1]	14	0.7105	0.6699	0.6699	0.7112	0.7168	0.8349	0.3301	0.1651	
nMMSBM_[1, 1]	15	0.7114	0.6704	0.6704	0.7120	0.7192	0.8352	0.3296	0.1648	
nMMSBM_[1, 1]	16	0.7101	0.6727	0.6727	0.7150	0.7205	0.8363	0.3273	0.1637	
nMMSBM_[1, 1]	17	0.7101	0.6682	0.6682	0.7082	0.7156	0.8341	0.3318	0.1659	
nMMSBM_[1, 1]	18	0.7139	0.6710	0.6710	0.7139	0.7191	0.8355	0.3290	0.1645	
nMMSBM_[1, 1]	19	0.7144	0.6721	0.6721	0.7138	0.7210	0.8361	0.3279	0.1639	
nMMSBM_[1, 1]	20	0.7125	0.6710	0.6710	0.7142	0.7205	0.8355	0.3290	0.1645	
nMMSBM_[1, 1]	21	0.7120	0.6642	0.6642	0.7120	0.7189	0.8321	0.3358	0.1679	
nMMSBM_[1, 1]	22	0.7132	0.6783	0.6783	0.7163	0.7214	0.8392	0.3217	0.1608	
nMMSBM_[1, 1]	23	0.7127	0.6721	0.6721	0.7152	0.7174	0.8361	0.3279	0.1639	
nMMSBM_[1, 1]	24	0.7102	0.6642	0.6642	0.7051	0.7120	0.8321	0.3358	0.1679	
nMMSBM_[1, 1]	25	0.7145	0.6744	0.6744	0.7147	0.7210	0.8372	0.3256	0.1628	
nMMSBM_[1, 1]	26	0.7145	0.6676	0.6676	0.7150	0.7206	0.8338	0.3324	0.1662	
nMMSBM_[1, 1]	27	0.7120	0.6676	0.6676	0.7154	0.7206	0.8338	0.3324	0.1662	
nMMSBM_[1, 1]	28	0.7071	0.6586	0.6586	0.6988	0.6952	0.8293	0.3414	0.1707	
nMMSBM_[1, 1]	29	0.7121	0.6733	0.6733	0.7174	0.7232	0.8366	0.3267	0.1634	
nMMSBM_[1, 1]	30	0.7130	0.6659	0.6659	0.7123	0.7169	0.8330	0.3341	0.1670	
nMMSBM_[1, 1]	31	0.7116	0.6625	0.6625	0.7083	0.7139	0.8313	0.3375	0.1687	
nMMSBM_[1, 1]	32	0.7132	0.6727	0.6727	0.7151	0.7207	0.8363	0.3273	0.1637	
nMMSBM_[1, 1]	33	0.7120	0.6670	0.6670	0.7127	0.7206	0.8335	0.3330	0.1665	
nMMSBM_[1, 1]	34	0.7124	0.6682	0.6682	0.7145	0.7201	0.8341	0.3318	0.1659	
nMMSBM_[1, 1]	35	0.7081	0.6761	0.6761	0.7056	0.7085	0.8380	0.3239	0.1620	
nMMSBM_[1, 1]	36	0.7127	0.6750	0.6750	0.7140	0.7200	0.8375	0.3250	0.1625	
KNN_[1, 1]	0	0.6940	0.6433	0.6433	0.6668	0.6430	0.8217	0.3567	0.1783	
Rand_[1, 1]	0	0.6795	0.4873	0.4873	0.4968	0.5231	0.7436	0.5127	0.2564	
