	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1, 1, 1, 1]	0.6875, 0.6309, 0.6309, 0.6363, 0.6261, 0.8154, 0.3691, 0.1846, 
NMF_[1, 1, 1, 1]	0.7125, 0.6495, 0.6495, 0.7056, 0.7119, 0.8248, 0.3505, 0.1752, 
PF_[1, 1, 1, 1]	0.7796, 0.6919, 0.7643, 0.8436, 0.8351, 0.8485, 0.3030, 0.1515, 
TF_[1, 1, 1, 1]	0.6795, 0.6037, 0.6037, 0.4651, 0.4956, 0.8019, 0.3963, 0.1981, 
BL_[1, 1, 1, 1]	0.6795, 0.6037, 0.6037, 0.5000, 0.5215, 0.8019, 0.3963, 0.1981, 
nMMSBM_[1, 1, 1, 1]	0.7129, 0.6608, 0.6608, 0.7075, 0.7155, 0.8304, 0.3392, 0.1696, 
KNN_[1, 1, 1, 1]	0.6905, 0.6473, 0.6473, 0.6553, 0.6345, 0.8236, 0.3527, 0.1764, 
Rand_[1, 1, 1, 1]	0.6796, 0.4958, 0.4958, 0.4874, 0.5171, 0.7479, 0.5042, 0.2521, 
NB_[1, 2, 1, 1]	0.6847, 0.6275, 0.6275, 0.6202, 0.6146, 0.8137, 0.3725, 0.1863, 
NMF_[1, 2, 1, 1]	0.7070, 0.6676, 0.6699, 0.7023, 0.7020, 0.8338, 0.3324, 0.1662, 
PF_[1, 2, 1, 1]	0.8210, 0.7202, 0.8101, 0.8900, 0.8788, 0.8601, 0.2798, 0.1399, 
TF_[1, 2, 1, 1]	0.6796, 0.6037, 0.6037, 0.5342, 0.5483, 0.8019, 0.3963, 0.1981, 
BL_[1, 2, 1, 1]	0.6795, 0.6037, 0.6037, 0.5000, 0.5215, 0.8019, 0.3963, 0.1981, 
nMMSBM_[1, 2, 1, 1]	0.7116, 0.6778, 0.6778, 0.7180, 0.7218, 0.8389, 0.3222, 0.1611, 
KNN_[1, 2, 1, 1]	0.6847, 0.6557, 0.6557, 0.6520, 0.6303, 0.8279, 0.3443, 0.1721, 
Rand_[1, 2, 1, 1]	0.6795, 0.4895, 0.4895, 0.4906, 0.5207, 0.7448, 0.5105, 0.2552, 
NB_[1, 3, 1, 1]	0.6867, 0.6382, 0.6382, 0.6323, 0.6250, 0.8191, 0.3618, 0.1809, 
NMF_[1, 3, 1, 1]	0.7178, 0.6817, 0.6976, 0.7232, 0.7182, 0.8409, 0.3183, 0.1591, 
PF_[1, 3, 1, 1]	0.8525, 0.7603, 0.8468, 0.9172, 0.9138, 0.8802, 0.2397, 0.1198, 
TF_[1, 3, 1, 1]	0.6795, 0.6037, 0.6037, 0.4702, 0.4967, 0.8019, 0.3963, 0.1981, 
BL_[1, 3, 1, 1]	0.6795, 0.6037, 0.6037, 0.5000, 0.5215, 0.8019, 0.3963, 0.1981, 
nMMSBM_[1, 3, 1, 1]	0.7353, 0.7162, 0.7162, 0.7603, 0.7628, 0.8581, 0.2838, 0.1419, 
KNN_[1, 3, 1, 1]	0.7023, 0.6648, 0.6648, 0.6859, 0.6623, 0.8324, 0.3352, 0.1676, 
Rand_[1, 3, 1, 1]	0.6795, 0.5020, 0.5020, 0.5194, 0.5365, 0.7510, 0.4980, 0.2490, 
