	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1]	0.2915	0.1573	0.5576	0.7475	0.2658	0.4641	56.9307	0.2033	
TF_[1]	0.1607	0.0047	0.0022	0.4678	0.1547	0.0464	199.4365	0.7123	
NMF_[1]	0.1806	0.0047	0.0085	0.6167	0.2319	0.1443	82.9424	0.2962	
KNN_[1]	0.1059	0.0049	0.3236	0.5560	0.1558	0.1642	267.6263	0.9558	
NB_[1]	0.2216	0.0497	0.4872	0.7012	0.2498	0.3473	68.2649	0.2438	
BL_[1]	0.1607	0.0052	0.1003	0.5000	0.1026	0.2464	79.3421	0.2834	
PF_[1]	0.2929	0.1706	0.5589	0.7574	0.2669	0.4692	51.4303	0.1837	
Rand_[1]	0.1607	0.0047	0.0118	0.4978	0.1032	0.0347	198.6161	0.7093	
nMMSBM_[2]	0.3127	0.1793	0.5704	0.7613	0.2840	0.4838	55.7572	0.1991	
TF_[2]	0.1607	0.0052	0.1003	0.5261	0.1514	0.1459	148.4802	0.5303	
NMF_[2]	0.1608	0.0051	0.0230	0.5642	0.2139	0.2054	82.6102	0.2950	
KNN_[2]	0.2347	0.1414	0.3901	0.6131	0.2230	0.2931	214.5837	0.7664	
NB_[2]	0.2276	0.0078	0.1459	0.6712	0.2416	0.2710	77.2145	0.2758	
BL_[2]	0.1607	0.0052	0.1003	0.5000	0.1026	0.2464	79.3421	0.2834	
PF_[2]	0.3214	0.1747	0.5721	0.7878	0.2906	0.4901	48.3780	0.1728	
Rand_[2]	0.1607	0.0047	0.0116	0.4981	0.1017	0.0348	198.1099	0.7075	
nMMSBM_[3]	0.3219	0.1819	0.5790	0.7666	0.2895	0.4937	55.5278	0.1983	
TF_[3]	0.1607	0.0052	0.1003	0.5605	0.1777	0.1370	143.3169	0.5118	
NMF_[3]	0.1606	0.0047	0.0293	0.5368	0.2158	0.2321	82.8535	0.2959	
KNN_[3]	0.2414	0.1496	0.3251	0.6154	0.2324	0.2891	216.4373	0.7730	
NB_[3]	0.2600	0.0097	0.1618	0.7054	0.2389	0.2036	85.6294	0.3058	
BL_[3]	0.1607	0.0052	0.1003	0.5000	0.1026	0.2464	79.3421	0.2834	
PF_[3]	0.3440	0.1790	0.5836	0.8067	0.3068	0.5055	47.3896	0.1692	
Rand_[3]	0.1607	0.0047	0.0110	0.4979	0.1023	0.0342	198.9031	0.7104	
