	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1]	0	0.2216	0.0497	0.4872	0.7012	0.2498	0.3473	68.2649	0.2438	
NMF_[1]	0	0.1806	0.0047	0.0085	0.6167	0.2319	0.1443	82.9424	0.2962	
PF_[1]	0	0.2929	0.1706	0.5589	0.7574	0.2669	0.4692	51.4303	0.1837	
TF_[1]	0	0.1607	0.0047	0.0022	0.4678	0.1547	0.0464	199.4365	0.7123	
BL_[1]	0	0.1607	0.0052	0.1003	0.5000	0.1026	0.2464	79.3421	0.2834	
nMMSBM_[1]	0	0.2924	0.1544	0.5581	0.7488	0.2663	0.4644	56.7966	0.2028	
nMMSBM_[1]	1	0.2919	0.1543	0.5596	0.7480	0.2661	0.4647	56.8083	0.2029	
nMMSBM_[1]	2	0.2916	0.1544	0.5597	0.7470	0.2660	0.4648	56.7800	0.2028	
nMMSBM_[1]	3	0.2926	0.1666	0.5598	0.7487	0.2663	0.4650	57.0358	0.2037	
nMMSBM_[1]	4	0.2920	0.1546	0.5584	0.7473	0.2660	0.4645	56.8649	0.2031	
nMMSBM_[1]	5	0.2921	0.1543	0.5581	0.7481	0.2665	0.4645	56.6469	0.2023	
nMMSBM_[1]	6	0.2928	0.1544	0.5584	0.7487	0.2662	0.4643	56.9020	0.2032	
nMMSBM_[1]	7	0.2918	0.1543	0.5579	0.7479	0.2655	0.4640	57.0541	0.2038	
nMMSBM_[1]	8	0.2925	0.1543	0.5582	0.7473	0.2663	0.4643	56.9908	0.2035	
nMMSBM_[1]	9	0.2918	0.1543	0.5596	0.7489	0.2659	0.4646	56.6899	0.2025	
nMMSBM_[1]	10	0.2916	0.1542	0.5597	0.7469	0.2658	0.4647	56.6476	0.2023	
nMMSBM_[1]	11	0.2841	0.1522	0.5452	0.7463	0.2639	0.4587	57.5154	0.2054	
nMMSBM_[1]	12	0.2924	0.1543	0.5595	0.7467	0.2656	0.4646	57.0192	0.2036	
nMMSBM_[1]	13	0.2915	0.1545	0.5594	0.7485	0.2657	0.4644	56.8807	0.2031	
