	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1]	0.0002	0.0005	0.0004	0.0001	0.0001	0.0001	0.0212	0.0001	
TF_[1]	nan	nan	nan	nan	nan	nan	nan	nan	
NMF_[1]	nan	nan	nan	nan	nan	nan	nan	nan	
KNN_[1]	nan	nan	nan	nan	nan	nan	nan	nan	
NB_[1]	nan	nan	nan	nan	nan	nan	nan	nan	
BL_[1]	nan	nan	nan	nan	nan	nan	nan	nan	
PF_[1]	nan	nan	nan	nan	nan	nan	nan	nan	
Rand_[1]	nan	nan	nan	nan	nan	nan	nan	nan	
nMMSBM_[2]	0.0001	0.0005	0.0001	0.0001	0.0001	0.0000	0.0178	0.0001	
TF_[2]	nan	nan	nan	nan	nan	nan	nan	nan	
NMF_[2]	nan	nan	nan	nan	nan	nan	nan	nan	
KNN_[2]	nan	nan	nan	nan	nan	nan	nan	nan	
NB_[2]	nan	nan	nan	nan	nan	nan	nan	nan	
BL_[2]	nan	nan	nan	nan	nan	nan	nan	nan	
PF_[2]	nan	nan	nan	nan	nan	nan	nan	nan	
Rand_[2]	nan	nan	nan	nan	nan	nan	nan	nan	
nMMSBM_[3]	0.0001	0.0006	0.0001	0.0001	0.0001	0.0001	0.0251	0.0001	
TF_[3]	nan	nan	nan	nan	nan	nan	nan	nan	
NMF_[3]	nan	nan	nan	nan	nan	nan	nan	nan	
KNN_[3]	nan	nan	nan	nan	nan	nan	nan	nan	
NB_[3]	nan	nan	nan	nan	nan	nan	nan	nan	
BL_[3]	nan	nan	nan	nan	nan	nan	nan	nan	
PF_[3]	nan	nan	nan	nan	nan	nan	nan	nan	
Rand_[3]	nan	nan	nan	nan	nan	nan	nan	nan	
