	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1]	0.0019	0.0052	0.0043	0.0010	0.0005	0.0013	0.2097	0.0007	
TF_[1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NMF_[1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
KNN_[1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NB_[1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
BL_[1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
PF_[1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
Rand_[1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
nMMSBM_[2]	0.0010	0.0048	0.0007	0.0007	0.0006	0.0005	0.1768	0.0006	
TF_[2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NMF_[2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
KNN_[2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NB_[2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
BL_[2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
PF_[2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
Rand_[2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
nMMSBM_[3]	0.0011	0.0059	0.0008	0.0011	0.0009	0.0007	0.2499	0.0009	
TF_[3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NMF_[3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
KNN_[3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NB_[3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
BL_[3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
PF_[3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
Rand_[3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
