	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1]	0.3746, 0.4977, 0.7321, 0.7466, 0.3567, 0.6460, 37.4424, 0.1337, 
NMF_[1]	0.2981, 0.4919, 0.6412, 0.5772, 0.3062, 0.5745, 49.5994, 0.1771, 
PF_[1]	0.4225, 0.5493, 0.7855, 0.8044, 0.3993, 0.7170, 26.1053, 0.0932, 
TF_[1]	0.2747, 0.0002, 0.0012, 0.3887, 0.2328, 0.1047, 96.4478, 0.3445, 
BL_[1]	0.2747, 0.4878, 0.6359, 0.5000, 0.2165, 0.6151, 38.3788, 0.1371, 
nMMSBM_[1]	0.4199, 0.5493, 0.7858, 0.7953, 0.3993, 0.7120, 29.2999, 0.1046, 
KNN_[1]	0.3897, 0.0207, 0.0395, 0.6732, 0.3622, 0.2694, 121.1805, 0.4328, 
Rand_[1]	0.2747, 0.0001, 0.0067, 0.4994, 0.2160, 0.0254, 166.1636, 0.5934, 
NB_[2]	0.3776, 0.5174, 0.7292, 0.7403, 0.3791, 0.6544, 39.9588, 0.1427, 
NMF_[2]	0.3065, 0.5040, 0.6587, 0.6107, 0.3023, 0.5957, 48.3709, 0.1728, 
PF_[2]	0.4438, 0.5542, 0.7907, 0.8147, 0.4156, 0.7244, 27.1709, 0.0970, 
TF_[2]	0.2747, 0.4878, 0.6359, 0.5966, 0.2958, 0.5853, 73.6569, 0.2631, 
BL_[2]	0.2747, 0.4878, 0.6359, 0.5000, 0.2165, 0.6151, 38.3794, 0.1371, 
nMMSBM_[2]	0.4382, 0.5529, 0.7907, 0.8037, 0.4144, 0.7206, 28.6523, 0.1023, 
KNN_[2]	0.3931, 0.0262, 0.0501, 0.6575, 0.3505, 0.3106, 126.5805, 0.4521, 
Rand_[2]	0.2747, 0.0001, 0.0069, 0.4981, 0.2160, 0.0255, 166.8830, 0.5960, 
NB_[3]	0.3754, 0.5206, 0.7363, 0.7328, 0.3752, 0.6552, 42.7871, 0.1528, 
NMF_[3]	0.3060, 0.5042, 0.6588, 0.6288, 0.3048, 0.5977, 49.4730, 0.1767, 
PF_[3]	0.4558, 0.5555, 0.7931, 0.8169, 0.4201, 0.7261, 29.3326, 0.1048, 
TF_[3]	0.2747, 0.4878, 0.6359, 0.5041, 0.2689, 0.5854, 76.1489, 0.2720, 
BL_[3]	0.2747, 0.4878, 0.6359, 0.5000, 0.2165, 0.6151, 38.3787, 0.1371, 
nMMSBM_[3]	0.4475, 0.5541, 0.7930, 0.8057, 0.4186, 0.7241, 28.4376, 0.1016, 
KNN_[3]	0.4094, 0.0650, 0.1256, 0.6710, 0.3780, 0.2831, 123.4126, 0.4408, 
Rand_[3]	0.2747, 0.0000, 0.0073, 0.5011, 0.2166, 0.0257, 166.1210, 0.5933, 
