	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1]	0.1741	0.1995	0.2155	0.7908	0.1603	0.3827	58.1283	0.0786	
TF_[1]	0.0262	0.0651	0.0005	0.5327	0.0266	0.0705	478.7326	0.6469	
NMF_[1]	0.0269	0.0688	0.0569	0.5744	0.0357	0.1933	59.6132	0.0806	
KNN_[1]	0.2280	0.2375	0.2537	0.6758	0.1683	0.3470	429.1452	0.5799	
NB_[1]	0.0346	0.0818	0.0579	0.7186	0.0767	0.2165	50.9160	0.0688	
BL_[1]	0.0262	0.0651	0.0532	0.5000	0.0135	0.1879	71.7427	0.0969	
PF_[1]	0.3858	0.4011	0.4208	0.8068	0.2490	0.5312	204.2132	0.2760	
Rand_[1]	0.0262	0.0651	0.0008	0.4999	0.0142	0.0740	349.9496	0.4729	
nMMSBM_[2]	0.3156	0.3254	0.3348	0.7661	0.2545	0.4528	69.4250	0.0938	
TF_[2]	0.0262	0.0651	0.0042	0.5068	0.0261	0.1106	98.7238	0.1334	
NMF_[2]	0.0328	0.0937	0.0721	0.5941	0.0471	0.1993	84.8914	0.1147	
KNN_[2]	0.2936	0.2528	0.2751	0.7029	0.2213	0.3819	391.2090	0.5287	
NB_[2]	0.0415	0.0811	0.0721	0.7033	0.0594	0.2209	54.3882	0.0735	
BL_[2]	0.0262	0.0651	0.0532	0.5000	0.0135	0.1879	71.7139	0.0969	
PF_[2]	0.4528	0.4353	0.4375	0.7803	0.3288	0.5348	280.3717	0.3789	
Rand_[2]	0.0262	0.0651	0.0009	0.5009	0.0143	0.0742	349.3028	0.4720	
nMMSBM_[3]	0.3243	0.3103	0.3209	0.7384	0.2613	0.4366	79.8465	0.1079	
TF_[3]	0.0262	0.0651	0.0042	0.4805	0.0159	0.0962	114.7233	0.1550	
NMF_[3]	0.0371	0.1024	0.0658	0.5650	0.0403	0.1762	189.2462	0.2557	
KNN_[3]	0.3201	0.2948	0.3009	0.7079	0.2400	0.3941	385.6587	0.5212	
NB_[3]	0.0463	0.0731	0.0846	0.7005	0.0576	0.2264	56.4626	0.0763	
BL_[3]	0.0262	0.0651	0.0532	0.5000	0.0135	0.1879	71.7228	0.0969	
PF_[3]	0.4999	0.4407	0.4199	0.7474	0.3719	0.5007	335.9766	0.4540	
Rand_[3]	0.0262	0.0651	0.0013	0.5017	0.0142	0.0738	349.7930	0.4727	
