	run	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1]	0	0.0346	0.0818	0.0579	0.7186	0.0767	0.2165	50.9160	0.0688	
NMF_[1]	0	0.0269	0.0688	0.0569	0.5744	0.0357	0.1933	59.6132	0.0806	
PF_[1]	0	0.3858	0.4011	0.4208	0.8068	0.2490	0.5312	204.2132	0.2760	
TF_[1]	0	0.0262	0.0651	0.0005	0.5327	0.0266	0.0705	478.7326	0.6469	
BL_[1]	0	0.0262	0.0651	0.0532	0.5000	0.0135	0.1879	71.7427	0.0969	
nMMSBM_[1]	0	0.1742	0.1726	0.2059	0.7814	0.1596	0.3731	62.1857	0.0840	
nMMSBM_[1]	1	0.1681	0.1956	0.2118	0.7861	0.1607	0.3781	60.3164	0.0815	
nMMSBM_[1]	2	0.1714	0.2261	0.2221	0.7895	0.1659	0.3871	59.0678	0.0798	
nMMSBM_[1]	3	0.1704	0.1672	0.2011	0.7831	0.1542	0.3735	61.1809	0.0827	
nMMSBM_[1]	4	0.1799	0.2249	0.2241	0.7835	0.1599	0.3876	59.9252	0.0810	
nMMSBM_[1]	5	0.1732	0.1898	0.2163	0.7912	0.1618	0.3815	57.6933	0.0780	
nMMSBM_[1]	6	0.1707	0.1963	0.2063	0.7878	0.1597	0.3783	58.2246	0.0787	
nMMSBM_[1]	7	0.1749	0.2053	0.2190	0.7929	0.1599	0.3831	57.9045	0.0782	
nMMSBM_[1]	8	0.1725	0.2228	0.2229	0.7864	0.1613	0.3877	60.7127	0.0820	
nMMSBM_[1]	9	0.1756	0.2067	0.2242	0.7925	0.1629	0.3879	58.6073	0.0792	
nMMSBM_[1]	10	0.1682	0.1463	0.1964	0.7914	0.1539	0.3723	59.7322	0.0807	
nMMSBM_[1]	11	0.1744	0.1857	0.2164	0.7865	0.1602	0.3822	59.3291	0.0802	
nMMSBM_[1]	12	0.1745	0.2006	0.2097	0.7931	0.1560	0.3809	56.0801	0.0758	
nMMSBM_[1]	13	0.1816	0.2103	0.2176	0.7843	0.1633	0.3813	60.4779	0.0817	
nMMSBM_[1]	14	0.1717	0.1943	0.2154	0.7944	0.1604	0.3864	55.9548	0.0756	
nMMSBM_[1]	15	0.1828	0.2100	0.2258	0.7915	0.1601	0.3910	59.7564	0.0808	
nMMSBM_[1]	16	0.1720	0.1807	0.2059	0.7932	0.1603	0.3758	57.7786	0.0781	
nMMSBM_[1]	17	0.1648	0.1918	0.2067	0.7890	0.1583	0.3756	59.1206	0.0799	
nMMSBM_[1]	18	0.1740	0.1987	0.2227	0.7949	0.1639	0.3843	57.0222	0.0771	
nMMSBM_[1]	19	0.1716	0.2053	0.2094	0.8025	0.1607	0.3858	54.7972	0.0741	
nMMSBM_[1]	21	0.1691	0.2132	0.2195	0.7793	0.1561	0.3839	61.7894	0.0835	
nMMSBM_[1]	22	0.1711	0.1987	0.2094	0.7979	0.1598	0.3803	54.7988	0.0741	
nMMSBM_[1]	23	0.1755	0.1963	0.2283	0.7907	0.1545	0.3915	58.5560	0.0791	
nMMSBM_[1]	24	0.1677	0.1976	0.2154	0.7876	0.1602	0.3796	59.4394	0.0803	
nMMSBM_[1]	25	0.1699	0.2114	0.2207	0.7808	0.1578	0.3793	59.5728	0.0805	
nMMSBM_[1]	26	0.1724	0.1757	0.2050	0.7957	0.1600	0.3759	56.4507	0.0763	
nMMSBM_[1]	27	0.1796	0.2133	0.2273	0.7907	0.1600	0.3878	59.3932	0.0803	
nMMSBM_[1]	28	0.1768	0.2132	0.2221	0.7942	0.1655	0.3871	56.3084	0.0761	
nMMSBM_[1]	29	0.1738	0.2019	0.2203	0.7883	0.1567	0.3830	59.4004	0.0803	
nMMSBM_[1]	30	0.1689	0.1957	0.2070	0.7873	0.1614	0.3771	58.0777	0.0785	
nMMSBM_[1]	31	0.1771	0.2081	0.2182	0.7948	0.1592	0.3866	56.6636	0.0766	
nMMSBM_[1]	32	0.1703	0.1923	0.2084	0.7917	0.1541	0.3769	57.5661	0.0778	
nMMSBM_[1]	33	0.1698	0.1936	0.2167	0.7778	0.1587	0.3846	63.2247	0.0854	
nMMSBM_[1]	34	0.1735	0.2176	0.2275	0.7896	0.1605	0.3917	58.9537	0.0797	
nMMSBM_[1]	35	0.1791	0.1930	0.2150	0.7814	0.1574	0.3816	60.7433	0.0821	
nMMSBM_[1]	36	0.1737	0.2074	0.2166	0.7922	0.1632	0.3858	56.5545	0.0764	
nMMSBM_[1]	37	0.1797	0.1937	0.2201	0.7935	0.1655	0.3856	58.8248	0.0795	
nMMSBM_[1]	38	0.1700	0.2050	0.2221	0.7833	0.1582	0.3880	61.1201	0.0826	
nMMSBM_[1]	39	0.1759	0.1919	0.2092	0.7834	0.1602	0.3783	58.8762	0.0796	
nMMSBM_[1]	40	0.1802	0.1940	0.2074	0.7962	0.1612	0.3807	56.4580	0.0763	
nMMSBM_[1]	41	0.1768	0.1982	0.2188	0.7902	0.1647	0.3851	58.2597	0.0787	
nMMSBM_[1]	42	0.1772	0.2053	0.2210	0.7964	0.1638	0.3862	53.9258	0.0729	
nMMSBM_[1]	43	0.1803	0.1885	0.2083	0.7966	0.1625	0.3807	57.7786	0.0781	
nMMSBM_[1]	44	0.1742	0.1745	0.2045	0.7868	0.1610	0.3789	59.4520	0.0803	
nMMSBM_[1]	45	0.1777	0.1988	0.2210	0.7902	0.1656	0.3869	57.8607	0.0782	
nMMSBM_[1]	46	0.1789	0.2000	0.2228	0.7986	0.1597	0.3887	55.5838	0.0751	
nMMSBM_[1]	47	0.1711	0.1898	0.2118	0.7897	0.1580	0.3811	58.9281	0.0796	
nMMSBM_[1]	48	0.1717	0.2034	0.2159	0.7906	0.1614	0.3807	56.9381	0.0769	
nMMSBM_[1]	49	0.1754	0.2169	0.2198	0.7943	0.1644	0.3865	59.2367	0.0800	
nMMSBM_[1]	50	0.1850	0.2125	0.2218	0.7992	0.1620	0.3894	56.4952	0.0763	
nMMSBM_[1]	51	0.1739	0.1827	0.2092	0.7860	0.1603	0.3781	59.8588	0.0809	
nMMSBM_[1]	52	0.1684	0.2023	0.2062	0.7953	0.1602	0.3773	56.6053	0.0765	
nMMSBM_[1]	53	0.1759	0.2086	0.2149	0.7923	0.1587	0.3799	58.5442	0.0791	
nMMSBM_[1]	54	0.1728	0.1857	0.2096	0.7897	0.1632	0.3770	56.8074	0.0768	
nMMSBM_[1]	55	0.1727	0.2107	0.2213	0.7992	0.1599	0.3865	55.4116	0.0749	
nMMSBM_[1]	56	0.1742	0.1936	0.2126	0.7913	0.1576	0.3829	57.2145	0.0773	
nMMSBM_[1]	57	0.1759	0.2021	0.2157	0.7971	0.1657	0.3850	54.2662	0.0733	
nMMSBM_[1]	58	0.1790	0.1924	0.2119	0.7941	0.1609	0.3804	56.1021	0.0758	
nMMSBM_[1]	59	0.1775	0.2093	0.2227	0.7969	0.1625	0.3886	56.7321	0.0767	
nMMSBM_[1]	60	0.1762	0.2081	0.2261	0.7892	0.1654	0.3876	58.5342	0.0791	
nMMSBM_[1]	61	0.1677	0.2019	0.2172	0.8030	0.1606	0.3842	52.8135	0.0714	
nMMSBM_[1]	62	0.1652	0.2042	0.2138	0.7785	0.1583	0.3826	64.7587	0.0875	
nMMSBM_[1]	63	0.1747	0.2032	0.2141	0.7939	0.1601	0.3817	57.2761	0.0774	
nMMSBM_[1]	64	0.1722	0.1998	0.2145	0.7908	0.1575	0.3778	58.4506	0.0790	
nMMSBM_[1]	65	0.1778	0.1885	0.2161	0.8021	0.1591	0.3825	55.8834	0.0755	
nMMSBM_[1]	66	0.1676	0.1957	0.2115	0.7911	0.1573	0.3803	57.6245	0.0779	
nMMSBM_[1]	67	0.1712	0.2098	0.2254	0.7936	0.1604	0.3871	57.1312	0.0772	
nMMSBM_[1]	68	0.1738	0.1964	0.2213	0.7900	0.1595	0.3858	57.3284	0.0775	
nMMSBM_[1]	69	0.1714	0.2025	0.2173	0.7845	0.1606	0.3813	61.5562	0.0832	
nMMSBM_[1]	70	0.1751	0.2051	0.2132	0.7941	0.1565	0.3794	55.7424	0.0753	
nMMSBM_[1]	71	0.1774	0.2079	0.2254	0.8001	0.1607	0.3855	54.6322	0.0738	
nMMSBM_[1]	72	0.1760	0.2179	0.2250	0.7830	0.1620	0.3866	59.1909	0.0800	
nMMSBM_[1]	73	0.1784	0.2111	0.2181	0.7953	0.1633	0.3859	57.3886	0.0776	
nMMSBM_[1]	74	0.1738	0.1788	0.2063	0.7877	0.1556	0.3777	58.9000	0.0796	
nMMSBM_[1]	75	0.1789	0.1872	0.2101	0.7983	0.1603	0.3825	55.3579	0.0748	
nMMSBM_[1]	76	0.1702	0.2010	0.2090	0.7888	0.1630	0.3796	59.4154	0.0803	
nMMSBM_[1]	77	0.1694	0.2059	0.2162	0.7798	0.1588	0.3785	61.4554	0.0830	
nMMSBM_[1]	78	0.1733	0.2145	0.2210	0.7865	0.1567	0.3821	59.6158	0.0806	
nMMSBM_[1]	79	0.1753	0.1988	0.2199	0.7908	0.1635	0.3867	58.0081	0.0784	
nMMSBM_[1]	80	0.1712	0.1919	0.2087	0.7931	0.1612	0.3787	56.1778	0.0759	
nMMSBM_[1]	81	0.1761	0.2069	0.2151	0.7963	0.1597	0.3840	56.7399	0.0767	
nMMSBM_[1]	82	0.1730	0.1995	0.2206	0.7863	0.1589	0.3850	58.3699	0.0789	
nMMSBM_[1]	83	0.1691	0.1876	0.2021	0.7856	0.1591	0.3754	59.0696	0.0798	
nMMSBM_[1]	84	0.1752	0.2125	0.2242	0.7835	0.1603	0.3873	60.5794	0.0819	
nMMSBM_[1]	85	0.1752	0.2148	0.2192	0.7876	0.1569	0.3853	60.4250	0.0817	
nMMSBM_[1]	86	0.1736	0.2000	0.2094	0.7951	0.1588	0.3799	55.8523	0.0755	
nMMSBM_[1]	87	0.1756	0.2157	0.2239	0.7919	0.1617	0.3866	57.9945	0.0784	
nMMSBM_[1]	88	0.1795	0.1959	0.2139	0.7897	0.1579	0.3822	58.4620	0.0790	
nMMSBM_[1]	89	0.1743	0.2048	0.2128	0.7936	0.1577	0.3838	57.5610	0.0778	
nMMSBM_[1]	90	0.1813	0.1936	0.2216	0.7992	0.1666	0.3859	55.1708	0.0746	
nMMSBM_[1]	91	0.1781	0.1947	0.2125	0.7894	0.1633	0.3800	58.7333	0.0794	
nMMSBM_[1]	92	0.1784	0.1993	0.2241	0.7962	0.1600	0.3903	55.5314	0.0750	
nMMSBM_[1]	93	0.1778	0.2046	0.2191	0.7880	0.1622	0.3850	58.0716	0.0785	
nMMSBM_[1]	94	0.1754	0.2034	0.2152	0.7965	0.1614	0.3840	56.7504	0.0767	
nMMSBM_[1]	95	0.1733	0.1910	0.2117	0.7943	0.1604	0.3815	57.7434	0.0780	
nMMSBM_[1]	96	0.1714	0.1773	0.2079	0.7879	0.1594	0.3783	59.2315	0.0800	
nMMSBM_[1]	97	0.1772	0.1980	0.2217	0.7883	0.1597	0.3847	60.1838	0.0813	
nMMSBM_[1]	98	0.1684	0.1882	0.2019	0.7929	0.1567	0.3793	56.4325	0.0763	
nMMSBM_[1]	99	0.1707	0.2086	0.2047	0.7862	0.1606	0.3730	59.9149	0.0810	
KNN_[1]	0	0.2280	0.2375	0.2537	0.6758	0.1683	0.3470	429.1452	0.5799	
Rand_[1]	0	0.0262	0.0651	0.0008	0.4999	0.0142	0.0740	349.9496	0.4729	
NB_[2]	0	0.0415	0.0811	0.0721	0.7033	0.0594	0.2209	54.3882	0.0735	
NMF_[2]	0	0.0328	0.0937	0.0721	0.5941	0.0471	0.1993	84.8914	0.1147	
PF_[2]	0	0.4528	0.4353	0.4375	0.7803	0.3288	0.5348	280.3717	0.3789	
TF_[2]	0	0.0262	0.0651	0.0042	0.5068	0.0261	0.1106	98.7238	0.1334	
BL_[2]	0	0.0262	0.0651	0.0532	0.5000	0.0135	0.1879	71.7139	0.0969	
nMMSBM_[2]	0	0.3172	0.3241	0.3368	0.7616	0.2509	0.4539	66.4729	0.0898	
nMMSBM_[2]	1	0.3020	0.3165	0.3319	0.7585	0.2525	0.4497	67.5785	0.0913	
