	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1]	0.0004	0.0013	0.0007	0.0006	0.0003	0.0004	0.2085	0.0003	
TF_[1]	nan	nan	nan	nan	nan	nan	nan	nan	
NMF_[1]	nan	nan	nan	nan	nan	nan	nan	nan	
KNN_[1]	nan	nan	nan	nan	nan	nan	nan	nan	
NB_[1]	nan	nan	nan	nan	nan	nan	nan	nan	
BL_[1]	nan	nan	nan	nan	nan	nan	nan	nan	
PF_[1]	nan	nan	nan	nan	nan	nan	nan	nan	
Rand_[1]	nan	nan	nan	nan	nan	nan	nan	nan	
nMMSBM_[2]	0.0005	0.0004	0.0004	0.0005	0.0003	0.0003	0.4719	0.0006	
TF_[2]	nan	nan	nan	nan	nan	nan	nan	nan	
NMF_[2]	nan	nan	nan	nan	nan	nan	nan	nan	
KNN_[2]	nan	nan	nan	nan	nan	nan	nan	nan	
NB_[2]	nan	nan	nan	nan	nan	nan	nan	nan	
BL_[2]	nan	nan	nan	nan	nan	nan	nan	nan	
PF_[2]	nan	nan	nan	nan	nan	nan	nan	nan	
Rand_[2]	nan	nan	nan	nan	nan	nan	nan	nan	
nMMSBM_[3]	0.0004	0.0004	0.0003	0.0006	0.0003	0.0003	0.5085	0.0007	
TF_[3]	nan	nan	nan	nan	nan	nan	nan	nan	
NMF_[3]	nan	nan	nan	nan	nan	nan	nan	nan	
KNN_[3]	nan	nan	nan	nan	nan	nan	nan	nan	
NB_[3]	nan	nan	nan	nan	nan	nan	nan	nan	
BL_[3]	nan	nan	nan	nan	nan	nan	nan	nan	
PF_[3]	nan	nan	nan	nan	nan	nan	nan	nan	
Rand_[3]	nan	nan	nan	nan	nan	nan	nan	nan	
