	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
nMMSBM_[1]	0.0039	0.0125	0.0069	0.0055	0.0027	0.0044	2.0636	0.0028	
TF_[1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NMF_[1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
KNN_[1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NB_[1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
BL_[1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
PF_[1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
Rand_[1]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
nMMSBM_[2]	0.0046	0.0036	0.0043	0.0051	0.0028	0.0032	4.6951	0.0063	
TF_[2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NMF_[2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
KNN_[2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NB_[2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
BL_[2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
PF_[2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
Rand_[2]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
nMMSBM_[3]	0.0037	0.0035	0.0026	0.0058	0.0033	0.0026	5.0599	0.0068	
TF_[3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NMF_[3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
KNN_[3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
NB_[3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
BL_[3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
PF_[3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
Rand_[3]	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
