	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1]	0.1685, 0.2013, 0.2392, 0.9745, 0.4995, 0.3956, 8.6341, 0.0290, 
NMF_[1]	0.0188, 0.0161, 0.0165, 0.5950, 0.0600, 0.0550, 100.6832, 0.3379, 
PF_[1]	0.9062, 0.8935, 0.9447, 0.9822, 0.9483, 0.9497, 10.2376, 0.0344, 
TF_[1]	0.0190, 0.0000, 0.0000, 0.5073, 0.0498, 0.0079, 194.2052, 0.6517, 
BL_[1]	0.0186, 0.0498, 0.0498, 0.5000, 0.0095, 0.1053, 68.1997, 0.2289, 
nMMSBM_[1]	0.1305, 0.1017, 0.1800, 0.9494, 0.2472, 0.3315, 8.6035, 0.0289, 
KNN_[1]	0.9793, 0.9708, 0.9952, 0.9903, 0.9770, 0.9882, 5.3990, 0.0181, 
Rand_[1]	0.0186, 0.0000, 0.0032, 0.5072, 0.0110, 0.0213, 147.5317, 0.4951, 
NB_[2]	0.1963, 0.2075, 0.2755, 0.9665, 0.3354, 0.4221, 8.3255, 0.0279, 
NMF_[2]	0.0222, 0.0657, 0.0668, 0.6680, 0.0638, 0.1037, 115.4933, 0.3876, 
PF_[2]	0.7284, 0.6180, 0.6476, 0.8399, 0.6332, 0.6600, 94.3747, 0.3167, 
TF_[2]	0.0186, 0.0037, 0.0037, 0.4535, 0.0218, 0.0301, 94.6905, 0.3178, 
BL_[2]	0.0186, 0.0498, 0.0498, 0.5000, 0.0095, 0.1053, 68.2422, 0.2290, 
nMMSBM_[2]	0.2545, 0.1908, 0.3138, 0.9765, 0.3383, 0.4793, 5.8262, 0.0196, 
KNN_[2]	0.8408, 0.8170, 0.8572, 0.9645, 0.8686, 0.8806, 20.6182, 0.0692, 
Rand_[2]	0.0186, 0.0002, 0.0044, 0.5016, 0.0108, 0.0222, 149.8010, 0.5027, 
NB_[3]	0.2118, 0.2098, 0.2881, 0.9637, 0.3077, 0.4344, 8.3108, 0.0279, 
NMF_[3]	0.0243, 0.0443, 0.0459, 0.5852, 0.0607, 0.0679, 181.4729, 0.6090, 
PF_[3]	0.6619, 0.5133, 0.5365, 0.7740, 0.5389, 0.5367, 134.5634, 0.4516, 
TF_[3]	0.0186, 0.0000, 0.0112, 0.4785, 0.0137, 0.0473, 88.1350, 0.2958, 
BL_[3]	0.0186, 0.0498, 0.0498, 0.5000, 0.0095, 0.1052, 68.2245, 0.2289, 
nMMSBM_[3]	0.3338, 0.2133, 0.3558, 0.9752, 0.3997, 0.5126, 6.3788, 0.0214, 
KNN_[3]	0.6067, 0.5420, 0.6129, 0.8904, 0.5957, 0.6619, 63.9697, 0.2147, 
Rand_[3]	0.0187, 0.0000, 0.0028, 0.5013, 0.0114, 0.0200, 149.4155, 0.5014, 
